key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:spokesperson
# base entity
campaign-00,,,,,,,TRUE,
# ticker - standard variations
campaign-01,,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-02,A99-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-03,AAA99-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-04,AA9-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-05,AA999-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-06,99-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-07,AA-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-08,AA00TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-09,AA00-TICK,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-10,AA00-TICKERRRRRR,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-11,AA00TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-12,AA00-,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-13,AA00-TI?KER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-14,AA00-TIC)KER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-15,AA00-TIC*KER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-16,AA00-TIC+K/ER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-17,AA00-TIC@KER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-18,AA99-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://www.lorem-ipsum,TRUE,spokesperson-01
campaign-19,AA99-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://www.lorem-ipsum,TRUE,spokesperson-01
# name - standard variations
campaign-20,AA20-TICKER,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-21,AA21-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
# description - standard variations
campaign-22,AA22-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing",,2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-23,AA23-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
# start-moment & end-moment - standard variations
campaign-24,AA24-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-25,AA25-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/09/01 00:00,,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-26,AA26-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",1999/12/31 23:59,2025/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-27,AA27-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2201/01/01 00:00,http://lorem.com/ipsum,TRUE,spokesperson-01
campaign-28,AA28-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/03/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
# more-info - standard variations
campaign-29,AA29-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://,TRUE,spokesperson-01
campaign-30,AA30-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,ftp://,TRUE,spokesperson-01
campaign-31,AA31-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://a,TRUE,spokesperson-01
campaign-32,AA32-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,ftp://a,TRUE,spokesperson-01
campaign-33,AA33-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/x",TRUE,spokesperson-01
# draft-mode - standard variations
campaign-34,AA34-TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",2025/08/01 10:00,2025/09/01 10:00,http://lorem.com/ipsum,,spokesperson-01
# spokesperson - standard variations
